image_id,color_0,color_1,color_2,color_3,color_4,color_5,color_6,color_7,color_8,color_9,color_10,color_11,color_12,color_13,color_14,color_15,color_16,color_17,color_18,color_19,color_20,color_21,color_22,color_23,color_24,color_25,color_26,color_27,color_28,color_29,color_30,color_31,color_32,color_33,color_34,color_35,color_36,color_37,color_38,color_39,color_40,color_41,color_42,color_43,color_44,color_45,color_46,color_47,color_48,color_49,color_50,color_51,color_52,color_53,color_54,color_55,color_56,color_57,color_58,color_59,color_60,color_61,color_62,color_63,color_64,color_65,color_66,color_67,color_68,color_69,color_70,color_71,color_72,color_73,color_74,color_75,color_76,color_77,color_78,color_79,color_80,color_81,color_82,color_83,color_84,color_85,color_86,color_87,color_88,color_89,color_90,color_91,color_92,color_93,color_94,color_95
train_American_Goldfinch_0000,0.018433,0.028442,0.128845,0.202026,0.067017,0.033081,0.026123,0.021729,0.016602,0.009766,0.009888,0.055115,0.085754,0.108521,0.076904,0.013062,0.010986,0.008301,0.006104,0.006958,0.007507,0.006836,0.005920,0.005920,0.004700,0.005127,0.005981,0.011353,0.010864,0.001282,0.000488,0.000366,0.016174,0.003052,0.021484,0.028137,0.060608,0.058044,0.114136,0.123474,0.039856,0.027588,0.030518,0.029480,0.021606,0.012390,0.019470,0.067932,0.145996,0.093201,0.013733,0.006653,0.006470,0.005920,0.006531,0.005920,0.005737,0.005188,0.004272,0.005066,0.011047,0.008606,0.001160,0.000549,0.026245,0.020081,0.101685,0.196594,0.187622,0.041443,0.019653,0.082397,0.149719,0.083496,0.007874,0.012146,0.006287,0.005737,0.023010,0.005615,0.004822,0.003174,0.003174,0.002747,0.003296,0.003235,0.002319,0.002380,0.001831,0.001709,0.000671,0.000732,0.000244,0.000000,0.000000,0.000061
train_American_Goldfinch_0001,0.000000,0.000000,0.001709,0.005432,0.010986,0.012878,0.009949,0.009094,0.009338,0.011902,0.026550,0.046326,0.069946,0.081360,0.110657,0.130920,0.112610,0.086304,0.066467,0.033142,0.024231,0.019470,0.009583,0.008484,0.006653,0.007019,0.007080,0.007996,0.007385,0.007446,0.009033,0.050049,0.000000,0.000000,0.002197,0.004639,0.012329,0.013672,0.010559,0.009277,0.007019,0.006104,0.011169,0.017029,0.027527,0.042664,0.073059,0.105469,0.133972,0.122742,0.098938,0.077271,0.049561,0.040466,0.021179,0.014038,0.009460,0.007935,0.007874,0.007751,0.012390,0.015381,0.013916,0.024414,0.000000,0.000122,0.002075,0.005859,0.012939,0.016663,0.022339,0.035034,0.061401,0.086182,0.107544,0.145325,0.142883,0.109253,0.060486,0.047913,0.035889,0.026123,0.017212,0.012085,0.007568,0.006226,0.005066,0.005005,0.004822,0.005554,0.004333,0.004028,0.002380,0.002319,0.001648,0.003723
train_American_Goldfinch_0002,0.000366,0.007690,0.113342,0.178223,0.164246,0.121399,0.081909,0.052917,0.045227,0.037170,0.028931,0.016235,0.011047,0.009155,0.006897,0.008667,0.009827,0.010132,0.008911,0.009399,0.008850,0.011169,0.012878,0.009888,0.009766,0.008728,0.005127,0.003174,0.002502,0.003418,0.002197,0.000610,0.000183,0.007568,0.088867,0.152954,0.137451,0.086487,0.078247,0.069946,0.058472,0.048767,0.039551,0.036438,0.030090,0.027649,0.027222,0.020691,0.015015,0.010498,0.007568,0.007507,0.007446,0.008484,0.007874,0.007690,0.005981,0.002930,0.002197,0.002747,0.002319,0.001160,0.000000,0.000000,0.000183,0.025208,0.306396,0.374512,0.139160,0.066956,0.035156,0.019836,0.009583,0.006226,0.005188,0.002747,0.001648,0.001038,0.001160,0.001465,0.001160,0.000916,0.000854,0.000427,0.000183,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
train_American_Goldfinch_0003,0.002014,0.004028,0.008911,0.011536,0.016479,0.028320,0.040405,0.053406,0.079102,0.109497,0.105896,0.100464,0.094971,0.081360,0.071350,0.056458,0.042847,0.029541,0.024719,0.013062,0.004822,0.002380,0.001526,0.001038,0.001038,0.000793,0.000916,0.001404,0.001648,0.001648,0.001892,0.006531,0.002014,0.001770,0.002197,0.003967,0.008179,0.015137,0.021301,0.038818,0.059143,0.079041,0.086121,0.095337,0.092529,0.093201,0.083984,0.078247,0.063110,0.049988,0.042725,0.029419,0.021729,0.012451,0.004578,0.001038,0.001404,0.000854,0.001221,0.001648,0.001587,0.001892,0.001953,0.003418,0.007324,0.037781,0.085083,0.133484,0.187561,0.166992,0.111877,0.074463,0.051392,0.039673,0.026611,0.023132,0.016968,0.010010,0.006042,0.004211,0.003113,0.001892,0.002380,0.001526,0.001404,0.001099,0.000977,0.000366,0.000732,0.000610,0.000549,0.000610,0.000427,0.000732,0.000427,0.000549
train_American_Goldfinch_0004,0.000000,0.000000,0.000061,0.001221,0.004700,0.003296,0.003784,0.005981,0.005005,0.033875,0.116028,0.117432,0.099060,0.098938,0.090332,0.114136,0.079407,0.042725,0.033081,0.027649,0.029541,0.025635,0.020386,0.011780,0.006897,0.004944,0.003174,0.003296,0.002686,0.001282,0.002380,0.011292,0.000000,0.000000,0.000061,0.000183,0.001038,0.005066,0.004395,0.004639,0.006104,0.004944,0.020691,0.106262,0.126343,0.107605,0.122681,0.091309,0.111328,0.069641,0.039795,0.032288,0.030151,0.029358,0.023804,0.020447,0.010925,0.004883,0.003906,0.003845,0.003662,0.002625,0.002502,0.009521,0.000000,0.000183,0.000671,0.001526,0.004089,0.007812,0.007812,0.011780,0.062500,0.107361,0.123291,0.142395,0.088806,0.074402,0.073120,0.060852,0.044800,0.034607,0.035706,0.031860,0.024475,0.020447,0.013123,0.011475,0.004333,0.003052,0.002808,0.002319,0.002686,0.001221,0.000305,0.000183
train_American_Goldfinch_0005,0.000183,0.000122,0.000366,0.000305,0.000244,0.000854,0.001160,0.002380,0.003357,0.021362,0.119385,0.384155,0.335205,0.100098,0.014587,0.001770,0.001282,0.000916,0.000977,0.000671,0.001343,0.001099,0.001465,0.001099,0.001404,0.000854,0.001221,0.001282,0.000549,0.000244,0.000061,0.000000,0.000183,0.000183,0.000244,0.000183,0.000366,0.000916,0.001770,0.002563,0.002930,0.006226,0.027588,0.057617,0.142822,0.433105,0.275269,0.035767,0.001282,0.000916,0.000916,0.001160,0.001526,0.001282,0.000916,0.001587,0.001404,0.000854,0.000366,0.000061,0.000000,0.000000,0.000000,0.000000,0.000366,0.000854,0.002991,0.002808,0.004761,0.005554,0.007629,0.013367,0.023865,0.040161,0.065552,0.081360,0.173157,0.204407,0.243347,0.106201,0.023010,0.000061,0.000244,0.000183,0.000000,0.000122,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
train_American_Goldfinch_0006,0.000122,0.000427,0.001343,0.005737,0.010925,0.012024,0.009216,0.009094,0.015015,0.029175,0.039673,0.045959,0.070557,0.109375,0.247742,0.176758,0.100098,0.049500,0.009033,0.008972,0.006165,0.006531,0.004089,0.003235,0.002930,0.001831,0.002869,0.002258,0.002869,0.001587,0.002930,0.011963,0.000183,0.000549,0.001282,0.004761,0.004517,0.003174,0.003784,0.003479,0.004456,0.006226,0.013428,0.012634,0.016785,0.034241,0.041016,0.043640,0.062988,0.125244,0.225464,0.236389,0.096558,0.018005,0.006775,0.006165,0.004578,0.001587,0.002380,0.002319,0.002136,0.001648,0.006409,0.007202,0.003479,0.005432,0.008728,0.014709,0.036072,0.047058,0.057739,0.121033,0.269226,0.170410,0.132202,0.048645,0.014587,0.011108,0.008972,0.008362,0.007751,0.005249,0.004944,0.004456,0.003601,0.003906,0.003418,0.002930,0.002258,0.001709,0.000854,0.000366,0.000305,0.000061,0.000244,0.000183
train_American_Goldfinch_0007,0.000916,0.000854,0.000610,0.000671,0.000610,0.001221,0.000610,0.002258,0.003601,0.018738,0.065002,0.152466,0.209106,0.166260,0.094666,0.047607,0.024780,0.024902,0.020752,0.022034,0.019714,0.019226,0.018005,0.015930,0.012207,0.011780,0.009583,0.008423,0.004150,0.004822,0.005005,0.013489,0.001587,0.000610,0.000610,0.000610,0.001587,0.000916,0.001160,0.001831,0.001831,0.007385,0.023560,0.062622,0.210754,0.283203,0.165833,0.065857,0.033386,0.030823,0.022644,0.018677,0.012146,0.010681,0.007812,0.005493,0.004150,0.003662,0.003967,0.004272,0.006592,0.005066,0.000671,0.000000,0.016968,0.007141,0.016541,0.099060,0.245300,0.336853,0.097107,0.039612,0.031982,0.024902,0.019775,0.015320,0.012085,0.009399,0.007568,0.005859,0.003357,0.002930,0.002075,0.001465,0.001343,0.000977,0.000854,0.000610,0.000793,0.000122,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
train_American_Goldfinch_0008,0.009094,0.015320,0.012390,0.014221,0.016968,0.027039,0.057983,0.062866,0.034973,0.049194,0.065125,0.070679,0.074646,0.067688,0.057007,0.047913,0.041504,0.037048,0.036255,0.030518,0.020996,0.022705,0.018250,0.016296,0.017273,0.016907,0.014954,0.011047,0.010498,0.009583,0.006104,0.006958,0.008789,0.014893,0.012817,0.023010,0.053772,0.057983,0.045654,0.028259,0.031982,0.041016,0.047546,0.067810,0.073181,0.066345,0.051636,0.050781,0.040833,0.033691,0.026611,0.023071,0.025330,0.029846,0.022766,0.022156,0.019714,0.019287,0.014526,0.010315,0.006897,0.007751,0.010254,0.011475,0.161255,0.067444,0.056030,0.058472,0.055908,0.059692,0.067139,0.071106,0.088928,0.070435,0.053955,0.041016,0.026855,0.030090,0.029236,0.020020,0.013245,0.009277,0.005188,0.004395,0.002258,0.001404,0.001404,0.000916,0.000488,0.000366,0.000305,0.001160,0.002014,0.000000,0.000000,0.000000
train_American_Goldfinch_0009,0.447449,0.078247,0.049500,0.046936,0.041138,0.026184,0.020020,0.020874,0.030945,0.023926,0.018921,0.017578,0.018494,0.017883,0.019836,0.017456,0.015381,0.014648,0.009827,0.007996,0.010803,0.008545,0.005859,0.004333,0.002686,0.002502,0.001587,0.001831,0.001282,0.002136,0.003540,0.011658,0.489563,0.047058,0.040527,0.037170,0.045349,0.039673,0.027161,0.027893,0.041382,0.033142,0.024963,0.020691,0.016113,0.014893,0.011719,0.011169,0.013611,0.016235,0.010864,0.004700,0.003662,0.002319,0.001404,0.001221,0.001221,0.001831,0.001343,0.001709,0.001648,0.002686,0.003601,0.003479,0.866699,0.025879,0.013489,0.012146,0.009583,0.009155,0.007141,0.006836,0.007751,0.006470,0.005249,0.005310,0.005249,0.007019,0.005005,0.003479,0.002686,0.000610,0.000244,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
