image_id,hog_pca_0,hog_pca_1,hog_pca_2,hog_pca_3,hog_pca_4,hog_pca_5,hog_pca_6,hog_pca_7,hog_pca_8,hog_pca_9,hog_pca_10,hog_pca_11,hog_pca_12,hog_pca_13,hog_pca_14,hog_pca_15,hog_pca_16,hog_pca_17,hog_pca_18,hog_pca_19,hog_pca_20,hog_pca_21,hog_pca_22,hog_pca_23,hog_pca_24,hog_pca_25,hog_pca_26,hog_pca_27,hog_pca_28,hog_pca_29,hog_pca_30,hog_pca_31,hog_pca_32,hog_pca_33,hog_pca_34,hog_pca_35,hog_pca_36,hog_pca_37,hog_pca_38,hog_pca_39,hog_pca_40,hog_pca_41,hog_pca_42,hog_pca_43,hog_pca_44,hog_pca_45,hog_pca_46,hog_pca_47,hog_pca_48,hog_pca_49,hog_pca_50,hog_pca_51,hog_pca_52,hog_pca_53,hog_pca_54,hog_pca_55,hog_pca_56,hog_pca_57,hog_pca_58,hog_pca_59,hog_pca_60,hog_pca_61,hog_pca_62,hog_pca_63,hog_pca_64,hog_pca_65,hog_pca_66,hog_pca_67,hog_pca_68,hog_pca_69,hog_pca_70,hog_pca_71,hog_pca_72,hog_pca_73,hog_pca_74,hog_pca_75,hog_pca_76,hog_pca_77,hog_pca_78,hog_pca_79,hog_pca_80,hog_pca_81,hog_pca_82,hog_pca_83,hog_pca_84,hog_pca_85,hog_pca_86,hog_pca_87,hog_pca_88,hog_pca_89,hog_pca_90,hog_pca_91,hog_pca_92,hog_pca_93,hog_pca_94,hog_pca_95,hog_pca_96,hog_pca_97,hog_pca_98,hog_pca_99
train_American_Goldfinch_0000,-1.096933,2.140768,1.673428,2.227092,-0.651203,-0.076827,0.489259,0.793914,-0.420034,-0.433328,0.744218,0.321510,-0.368299,-0.093282,-0.855146,-1.086111,-0.029484,-0.008328,-0.306635,0.530033,-0.831407,0.000182,0.058773,0.121662,0.159871,-0.022954,0.771453,-0.179895,-0.277552,-0.380993,-0.176536,0.363241,-0.658577,0.897898,0.086388,-0.247221,-0.131208,0.161165,-0.166930,-0.071903,-0.077087,-0.350664,0.004993,0.013205,0.110896,-0.065626,0.106689,-0.375341,-0.063955,0.065699,0.139077,-0.159728,-0.339023,-0.061145,-0.490588,0.196467,-0.063712,0.089072,-0.136789,-0.008030,0.186417,-0.074075,0.045724,-0.127759,0.056996,0.206229,0.016205,-0.532343,0.098712,-0.107985,0.032897,-0.351658,0.014137,0.088329,0.041125,-0.013252,0.292274,0.049552,0.071258,-0.515888,-0.045614,0.076170,0.015923,0.024354,-0.135344,0.082511,0.186390,0.463819,0.012976,0.052616,-0.115986,-0.264950,0.087499,-0.079535,-0.029797,-0.067781,0.040620,-0.093670,-0.088256,0.285496
train_American_Goldfinch_0001,0.307292,-0.663815,-0.294484,-0.052110,1.271234,-0.105329,0.569255,-0.447945,-0.136041,0.643781,-0.667739,-0.260179,-0.540447,0.115469,-0.158635,-0.275276,-0.186867,0.196064,0.592078,-0.102310,0.002308,0.258722,0.044458,-1.103931,0.144172,0.605895,0.206587,-0.126177,-0.017424,0.263466,0.250899,-0.131064,-0.451638,0.246337,-0.059740,0.097850,0.363759,-0.710484,-0.508666,-0.013982,-0.132255,0.117486,0.356245,0.118762,-0.491608,0.074435,0.668973,-0.388598,-0.284887,-0.043686,-0.006583,-0.143690,-0.261240,-0.256380,-0.121092,0.476818,-0.267787,-0.036857,0.566854,0.097912,0.352264,0.181015,0.097097,-0.221413,-0.290648,0.069099,-0.134663,0.229141,-0.187682,0.045671,0.424370,-0.062904,-0.230692,-0.349980,0.361752,0.020744,-0.259108,0.247163,0.067151,0.000691,0.120353,0.007203,-0.284161,0.030274,0.507289,-0.004035,0.087616,0.523634,-0.489943,-0.024686,0.048377,-0.157680,0.038940,0.059461,0.184880,-0.105930,-0.069101,-0.062232,0.021116,-0.266953
train_American_Goldfinch_0002,-0.011834,-0.520277,-0.149917,0.624799,0.404552,0.457802,0.628655,0.115504,-0.087111,-0.119292,-0.241479,-0.068020,-0.220683,-0.161713,0.519240,-0.324035,-0.340608,0.073029,-0.030032,-0.538729,-0.585203,-0.155489,0.391678,-0.178785,-0.138300,0.229949,-0.086363,-0.362830,0.163952,-0.198928,-0.406154,-0.153812,-0.308401,-0.585774,0.303598,0.140386,-0.005943,0.224976,0.072004,0.245228,0.176771,-0.162094,0.108229,-0.312262,0.160088,-0.001376,0.018247,-0.206401,-0.028014,-0.095596,-0.235841,-0.317569,-0.018098,-0.261252,-0.256845,-0.036814,0.032589,-0.314343,-0.358760,0.338998,-0.168365,0.203476,-0.039976,-0.346913,0.247754,-0.109716,-0.254197,0.090578,0.498517,-0.124361,0.087251,-0.006123,-0.186308,0.037349,0.663299,0.340250,0.459264,-0.288976,0.418097,-0.212185,0.156477,-0.057162,-0.150496,0.055387,-0.067306,-0.206737,-0.221359,-0.551438,-0.153076,-0.351135,0.265765,0.214226,0.327453,-0.084066,-0.170720,-0.012653,-0.003629,-0.116200,-0.090927,0.202055
train_American_Goldfinch_0003,-0.009007,-0.509071,-0.510361,-0.003822,-0.377654,-0.057463,-0.403905,-0.090776,-0.182239,0.018424,0.008589,-0.570136,-0.454546,-0.229901,-0.186079,-0.403111,-0.022116,-0.227039,0.271228,0.034678,0.095156,0.115434,0.219046,-0.212851,-0.083046,-0.260162,-0.283564,0.072220,0.006480,-0.029119,0.064212,-0.321338,-0.205075,0.263756,-0.092681,-0.130788,-0.055261,0.118406,0.442909,0.119710,0.235490,0.324016,0.138062,0.068278,0.066141,-0.472489,-0.055888,0.181211,0.174371,-0.016437,-0.479230,0.135096,0.169945,-0.030334,0.122413,-0.054840,-0.483775,0.262226,-0.100914,-0.388262,-0.100582,-0.019343,-0.096464,0.270157,-0.093138,-0.638016,-0.050159,-0.074563,-0.302567,0.152677,-0.159152,0.048471,0.066657,-0.016840,0.115362,0.068416,-0.040600,-0.056000,0.005826,0.210589,-0.080618,0.031608,0.203561,-0.000559,-0.045112,-0.142695,-0.257854,-0.203466,-0.122920,-0.182744,-0.292441,0.123965,0.114802,-0.145320,-0.007601,0.035681,-0.052089,-0.127583,-0.079174,-0.317980
train_American_Goldfinch_0004,1.463231,0.210475,-0.340466,-0.344582,-0.043073,-0.562518,0.269287,0.211712,-0.800084,-0.310227,-0.146427,-0.121823,0.662064,0.557824,0.476260,0.036942,-0.248696,-0.221123,-0.121377,0.400719,0.037260,0.390040,-0.875089,-0.660690,0.333476,0.513835,0.102229,0.012198,0.438797,-0.327190,-0.003714,-0.520805,0.124171,-0.031816,0.757880,0.400613,-0.143634,0.014524,0.322246,-0.174426,0.057529,0.002886,-0.190594,-0.204948,0.845782,-0.205234,0.397124,-0.240541,-0.539571,-0.348991,-0.283343,-0.203256,0.280931,0.177588,0.179803,0.044528,-0.163210,-0.258989,-0.264960,0.070189,0.044149,-0.209174,-0.734072,0.001831,-0.430821,0.281695,-0.288810,0.001899,-0.480279,-0.355313,0.074469,0.005297,0.523539,0.449450,-0.396208,0.512937,0.218402,0.088703,0.112161,0.286176,0.023777,0.074773,0.097146,0.067188,-0.235442,-0.068256,-0.140834,0.249411,0.080597,0.008145,-0.180663,-0.399015,0.055325,0.015917,-0.131090,0.223513,0.193898,0.003563,0.189462,-0.067090
train_American_Goldfinch_0005,2.761389,2.084805,1.292473,-0.930102,-0.201109,0.256066,0.565553,0.058415,-0.446929,-1.295328,0.097367,-0.037426,-0.551183,-0.302668,0.865470,0.362681,-0.196779,-0.330615,0.572302,-0.091843,1.013252,0.268435,-0.776923,-0.027913,-0.352804,-0.165567,0.464712,-0.181440,-0.090155,-0.359713,-0.113324,-0.331909,-0.130775,-0.099020,0.181462,0.328312,0.176831,0.288373,-0.118897,0.657852,-0.016840,-0.084490,0.341313,-0.665642,-0.304685,-0.066568,-0.121500,0.185529,-0.335218,0.663651,0.254671,0.302568,0.285621,0.103894,-0.177602,-0.392484,-0.368061,-0.132962,-0.283771,-0.491162,-0.063480,0.020186,-0.118758,0.069965,-0.105091,0.195696,0.488730,-0.582805,0.107336,-0.240080,0.137914,-0.245304,0.017934,-0.168287,0.065749,0.010836,0.191638,-0.273073,-0.166814,-0.300444,0.485417,-0.035709,-0.139978,0.225185,0.487542,0.325719,0.389476,-0.395312,-0.035460,0.369415,-0.175062,-0.299512,-0.042722,-0.071878,0.230485,0.063303,-0.185799,0.043597,-0.155305,-0.255458
train_American_Goldfinch_0006,0.682443,0.199754,-0.038127,-0.294834,0.451204,0.186330,0.407940,-0.654058,0.299604,0.616968,0.070561,-0.407161,-0.181477,-0.028567,-0.056344,0.696255,-0.170917,0.753766,1.023816,0.244457,-1.149977,-0.297590,-0.903025,0.583478,0.277001,-0.163868,-0.101431,-0.110428,0.090093,-0.336568,0.544539,0.523444,-0.161203,0.123995,0.142491,-0.219366,-0.831945,-0.089587,-0.126278,0.103062,-0.582292,-0.245791,0.028290,-0.450018,0.005250,-0.309000,-0.403979,0.388297,-0.178785,-0.353442,-0.066084,0.333877,1.089719,0.145729,-0.545860,-0.602339,-0.311706,0.167044,0.109963,-0.536607,-0.004989,-0.114498,0.042904,-0.191056,-0.814122,-0.666531,-0.185945,0.293495,0.343519,0.068553,0.286373,0.088516,-0.055485,0.012885,0.390560,0.131068,0.158121,-0.251433,0.166850,-0.131039,-0.244869,0.136465,0.156462,-0.235353,-0.207969,-0.188368,0.221250,0.095251,-0.262863,-0.117255,0.094031,-0.000804,-0.032972,-0.072701,-0.366141,-0.431475,0.040181,-0.316059,0.126682,-0.273052
train_American_Goldfinch_0007,1.384020,-0.516889,0.101902,-0.361302,-0.219426,-0.076410,0.003048,-0.280145,0.109059,0.694236,0.031314,-0.232853,-0.105318,-0.611659,0.157630,0.112610,-0.297181,-0.231503,0.746135,0.980144,-0.157799,0.174257,0.858637,-0.297965,0.199625,-0.014599,0.163939,0.511480,0.300136,0.581046,0.378501,-0.459047,-0.270515,0.516443,-0.245749,0.101634,0.023228,-0.097553,0.095290,0.286517,-0.315199,-0.169953,-0.080105,0.097830,-0.746290,-0.380116,-0.342421,-0.198639,-0.501395,0.013537,-0.005458,0.309048,-0.238401,0.300755,-0.416596,-0.263655,-0.330983,0.016922,0.073729,0.024566,0.096400,-0.080264,0.096209,-0.179812,0.519862,-0.049763,0.025157,-0.096346,0.116152,-0.227182,0.183316,-0.361977,0.232103,-0.268211,-0.113226,0.089672,-0.086268,-0.226258,0.147790,0.310952,-0.138373,-0.133981,0.340951,-0.371470,0.033331,-0.015731,0.068694,-0.174807,0.124980,0.126715,-0.043198,-0.400536,0.279463,0.021149,-0.216526,0.317342,-0.259949,-0.071493,-0.004970,0.102901
train_American_Goldfinch_0008,-0.333696,0.582082,-0.542308,0.553012,-1.121044,1.826908,0.009284,0.730197,-0.067274,-0.125791,-0.072710,0.515902,-0.232709,-0.209730,0.601640,0.032969,0.019810,0.109664,-0.040002,-0.147370,-0.263406,0.075292,0.026229,0.521987,0.094078,-0.180684,-0.164712,0.182948,0.027766,-0.164341,0.452933,0.014929,-0.249225,0.487301,-0.074010,-0.167806,-0.393495,-0.192538,0.316152,-0.252853,0.281958,0.250540,0.152198,0.010575,-0.044455,0.237908,0.286991,0.333212,-0.231763,0.215165,-0.024305,0.096630,-0.007175,-0.533355,0.005747,0.117159,-0.006714,0.064711,0.097576,-0.253306,-0.218451,0.377760,0.175537,0.065084,0.336829,-0.052941,0.167648,0.132156,-0.302331,-0.180289,-0.179728,0.113821,0.027198,-0.220686,-0.454291,-0.190700,-0.068142,-0.355574,0.162827,-0.050774,-0.063125,-0.445282,0.368910,-0.071863,-0.137585,-0.230959,-0.176329,-0.148565,0.075771,0.391360,-0.234550,-0.281351,-0.248534,0.027146,-0.046619,0.077274,-0.324793,0.119783,0.386986,0.509462
train_American_Goldfinch_0009,-0.627213,-0.195736,1.641978,1.294198,-1.377330,1.115533,-0.587383,0.149459,-0.100079,1.153914,-0.380249,0.345800,-0.259352,0.085095,-0.221452,0.948956,0.359366,-0.002975,0.869700,0.845943,-0.457459,-0.492289,0.022637,-0.084888,-0.090897,-0.062648,0.677044,0.844607,0.710446,0.417841,0.159465,0.010909,0.376143,-0.320591,-0.195028,-0.236287,-0.394566,-0.174583,1.012948,0.199964,-0.543528,-0.302096,0.525355,-0.210648,0.308252,-0.583694,0.045488,-0.256968,-0.016881,-0.157377,0.052294,-0.409456,-0.128716,-0.222337,0.189341,0.382814,-0.080615,-0.729071,0.056022,-0.120293,0.212790,-0.249929,-0.076684,-0.203837,-0.164493,0.026658,-0.212924,0.151011,-0.242619,-0.081440,-0.018457,-0.299684,0.084077,0.067331,0.414102,0.057018,-0.038843,-0.092856,-0.392756,0.062020,-0.065898,0.150313,-0.046402,-0.233237,-0.048999,-0.077113,0.365817,-0.281209,-0.068890,-0.008005,-0.352858,-0.062330,-0.057445,0.365004,0.323965,0.096658,0.444391,-0.134001,-0.123798,-0.223730
